"Feature","Coefficient"
"t4.OH.Pro",-0.225787915059023
"CDCA",-0.185848175597961
"DiCA.14.0.",0.183607582813906
"X3.IAA",0.181938921333368
"Betaine",-0.169216859390043
"Creatinine",0.166835434279983
"Serotonin",0.158347548452608
"FA.16.0.",-0.150032574292459
"DCA",0.143811282774657
"DG.18.2_18.3.",0.142953783361436
"Xanthine",0.133612600042651
"PC.ae.C42.1",-0.130867853947465
"HipAcid",-0.130143347422684
"Hex3Cer.d18.1.26.1.",0.119948515308056
"alpha.AAA",-0.11699335756564
"PC.ae.C36.5",-0.116071924450667
"C7.DC",-0.115930378233658
"C3",-0.112080554519555
"DG.22.1_22.2.",-0.106111259115305
"Cortisol",0.0998789081902952
"Trp",-0.0996824696347544
"GLCA",0.0985906284889182
"DG.16.1_18.2.",0.0975778660682617
"Cer.d18.0.20.0.",-0.0949494181193462
"SM.C26.0",-0.0947585437384489
"Cer.d18.1.18.0.",0.0936349621955599
"C10",0.0920520581157275
"Pro",-0.0872969729878317
"PEA",-0.0867555631216965
"Met",-0.0866939844440744
"DOPA",0.0866057162543081
"GLCAS",0.0850829604681761
"DHA",-0.0831080302942792
"Cys",0.0802288800704591
"Trigonelline",-0.079993723545308
"TG.16.0_32.0.",-0.0790419054781638
"Cer.d18.1.26.0.",-0.0786607615889953
"DG.21.0_22.6.",-0.0762254982857379
"CE.22.5.",0.0725750984592781
"SM.C16.1",-0.0708213303532649
"AbsAcid",0.0703206639791796
"Spermine",-0.0689213473386269
"PC.aa.C34.1",-0.06778605476178
"Hex2Cer.d18.1.20.0.",0.0670386175068061
"TG.16.1_32.0.",-0.0666985662506835
"HexCer.d18.2.20.0.",-0.0660690990063428
"TG.18.1_30.2.",0.0657990897107303
"TMCA",-0.0653120109270669
"DG.14.0_14.0.",0.0645466242946263
"PC.aa.C36.2",-0.0643445674363977
"Cer.d18.1.18.0.OH..",0.0638410651932689
"DG.16.0_18.2.",0.0634581086681407
"TrpBetaine",0.0615163429843407
"FA.18.1.",-0.0609912906956752
"C5.M.DC",0.0603792927605295
"TG.16.1_34.3.",0.0602534844303571
"TG.22.6_32.0.",-0.0596217678396591
"DG.18.1_18.4.",0.0593632451910204
"DG.18.1_22.5.",-0.058561264128505
"HexCer.d18.1.26.1.",0.0576309437583026
"Anserine",-0.0556436274183121
"DG.17.0_17.1.",-0.055563037794391
"Cer.d18.1.20.0.OH..",0.0555042390293794
"TG.20.3_36.5.",0.05370397844357
"HexCer.d18.1.26.0.",0.0535572033110377
"TG.16.0_34.0.",-0.0533869228599122
"Ac.Orn",-0.0521326393688424
"PC.aa.C34.2",-0.0515118752786604
"Arg",0.0508513132430098
"PC.ae.C44.3",0.0508232747440527
"HArg",0.050378595860006
"C12",0.0500318563844157
"C0",0.0497664875984033
"DG.14.0_18.2.",-0.0494345931557219
"TG.16.0_28.2.",-0.0478081969571576
"DG.18.2_18.2.",0.0474145662033478
"Cer.d18.0.16.0.",0.0474136915514108
"DG.18.1_20.3.",0.0473747414794751
"DG.O.14.0_18.2.",0.0472354424331282
"Histamine",0.0468325554317474
"Sarcosine",0.0460988554499782
"GDCA",0.0446599855406264
"FA.14.0.",-0.0444526725380547
"TG.20.0_34.1.",-0.0431894788004057
"PC.ae.C42.0",-0.0422701681111972
"Asn",0.0422463876702187
"DG.O.18.2_18.2.",0.0417542021475999
"TG.16.0_34.1.",-0.0414425712858752
"TLCA",0.0405137631127703
"PC.aa.C36.1",-0.0404246808997329
"PC.ae.C42.5",0.0399871927570718
"C6..C4.1.DC.",0.0390272909023307
"TG.16.0_38.1.",-0.0388857342941883
"DG.18.3_18.3.",0.038779175721885
"FA.18.0.",-0.0382858916343398
"TG.18.2_36.3.",-0.0382599710739298
"PC.ae.C36.4",-0.0376978107480669
"Ser",-0.0372848384935513
"TG.22.4_32.0.",-0.0370020983366692
"Val",-0.0367034430937761
"TG.18.1_32.2.",0.0346731183095383
"PC.aa.C42.5",-0.034660626768626
"HexCer.d18.1.24.0.",0.0345802305390107
"C8",0.0342762894841533
"PC.ae.C32.2",-0.0336633994909757
"Cer.d18.0.24.0.",-0.0335652086438538
"CE.20.4.",0.0329157797877983
"PC.ae.C30.2",-0.0325460013360095
"SM..OH..C24.1",-0.0324768307167404
"PC.aa.C40.3",-0.0311889287148828
"GCDCA",-0.0303068522150372
"Carnosine",-0.0301447509237661
"TG.18.2_36.2.",-0.0300448644920288
"PC.ae.C36.2",0.0297545329143739
"BABA",-0.0290740389204658
"DG.18.1_20.4.",-0.0288447554687436
"TG.18.1_36.3.",-0.0287587796795815
"DG.18.1_18.2.",0.0287464556295369
"C2",0.0283708246525799
"PC.ae.C34.0",0.0283335105015657
"DiCA.12.0.",0.0282070954135721
"TG.20.5_36.3.",-0.0278804611952065
"SM.C24.0",-0.0275632408637488
"TG.18.0_32.0.",-0.0271036109590658
"Hypoxanthine",0.0263866280230326
"DG.18.2_20.0.",0.0257370883327862
"PC.aa.C36.3",-0.0248610436491159
"TG.18.1_36.1.",-0.0248226186467516
"TG.16.1_32.2.",0.0247928785250102
"GABA",-0.024777211214295
"TG.17.1_38.6.",-0.0247065410993431
"TG.20.4_36.3.",-0.0240404711301748
"Hex2Cer.d18.1.18.0.",0.0237415805137374
"AconAcid",0.0237037583112453
"p.Cresol.SO4",0.0233323798037703
"TG.18.1_32.3.",0.0228819357543324
"beta.Ala",0.0228446253381017
"Cer.d16.1.20.0.",0.0228267050745955
"TG.22.5_32.0.",-0.0226013485534747
"TG.22.2_32.4.",-0.0218114101648409
"PC.aa.C38.5",0.0212164554780119
"TG.16.1_36.2.",0.0210476145952897
"Hex2Cer.d18.1.14.0.",0.0209587246015342
"PC.aa.C38.3",-0.0208187580474461
"Ind.SO4",-0.0206314001243311
"Cer.d18.1.20.0.",0.0205324203840788
"lysoPC.a.C28.0",0.0201214414051513
"TG.18.1_38.6.",-0.0197341762802197
"Indole",0.0197011701348296
"TG.18.2_30.1.",0.0191774574473086
"Hex2Cer.d18.1.24.1.",0.0189242717182423
"TG.18.1_36.2.",-0.0185051351574935
"TG.20.5_36.2.",-0.0184795799264646
"CE.16.0.",-0.0182129507043076
"TMAO",-0.018165580420316
"TG.18.1_30.1.",0.0176315659820813
"C14",0.0172218062087533
"ADMA",0.0172000210575549
"c4.OH.Pro",-0.0170705832497495
"ProBetaine",0.0163828287488937
"TCDCA",0.0161672749861601
"PC.ae.C42.3",0.0159263963822072
"Tyr",-0.0158892304208806
"Leu",-0.0158227269361324
"DG.14.0_18.1.",-0.0155314146545638
"OH.GlutAcid",-0.0154663606428835
"Nitro.Tyr",-0.0154304991120032
"C3.DC..C4.OH.",-0.0145000998360239
"C14.2",0.014445831285036
"TG.18.2_36.1.",-0.0141079653828457
"TG.22.4_32.2.",-0.0136958533249205
"H1",0.0134433022689314
"C10.2",-0.0133516494635067
"DG.16.0_16.1.",0.0121989220278148
"TG.20.1_32.0.",-0.0109555929510981
"DG.18.1_18.1.",0.0101859533713016
"TG.18.0_36.2.",-0.0101845611569264
"TG.18.1_36.0.",-0.00989747370669937
"Putrescine",0.00970994665943778
"TG.18.3_35.2.",0.00958701780044478
"Cer.d18.0.18.0.",-0.00949471851120424
"Cer.d18.0.22.0.",-0.00922942344654518
"GCA",-0.00859195600905969
"CE.14.1.",-0.00852426858881512
"DG.O.16.0_20.4.",0.00849445145021896
"DG.18.2_20.4.",-0.00708260447040438
"HexCer.d18.1.23.0.",0.00618427731337373
"HexCer.d18.2.22.0.",-0.00590065019092166
"TG.14.0_36.2.",0.00578204964324862
"TG.16.1_28.0.",-0.00543468296149048
"TG.22.6_34.1.",-0.00515538999954719
"Dopamine",0.00513148196886695
"TG.20.1_34.0.",-0.00472873805378586
"PC.ae.C38.6",-0.00450201696268137
"TG.14.0_36.3.",0.00416758783768921
"TG.16.0_32.1.",-0.00392998573666223
"TG.16.1_36.3.",0.00385474128235192
"PC.ae.C38.4",0.00366580052950305
"TG.18.1_32.0.",-0.00363647346873483
"TG.18.0_30.0.",-0.00342639088126371
"PheAlaBetaine",0.00328496182163372
"PC.aa.C24.0",0.00320470802894755
"TG.18.1_36.4.",-0.00277654285296326
"HexCer.d16.1.22.0.",-0.00266206673566844
"Hex2Cer.d18.1.26.0.",-0.00240172537064116
"PC.ae.C38.0",-0.00218181621500045
"PC.ae.C38.5",-0.00212546120060157
"C5.DC..C6.OH.",0.00195646368050382
"TG.18.2_32.0.",-0.00168857096573734
"TG.20.4_32.0.",-0.0013898838400049
"C12.1",0.000873174640855411
"TG.18.2_36.0.",-0.000623273042675094
"TG.18.1_34.4.",0.000322371122770832
"TG.18.0_36.3.",-0.00019900606299916
